icao,cidade,uf,regiao,lat,lon,ils_cat,pais
SBAC,ARACATI,CE,NE,-4.568896,-37.805135,,Brazil
SBAE,BAURU E AREALVA,SP,SE,-22.160755,-49.070325,,Brazil
SBAQ,ARARAQUARA,SP,SE,-21.812,-48.132999,,Brazil
SBAR,ARACAJU,SE,NE,-10.984,-37.070301,,Brazil
SBAS,ASSIS,SP,SE,-22.638601,-50.455983,,Brazil
SBAT,ALTA FLORESTA,MT,CO,-9.866389,-56.105,,Brazil
SBAU,ARAÇATUBA,SP,SE,-21.1413,-50.424702,,Brazil
SBAX,ARAXÁ,MG,SE,-19.5632,-46.9604,,Brazil
SBBE,BELÉM,PA,N,-1.37925,-48.476299,,Brazil
SBBG,BAGÉ,RS,S,-31.390499,-54.112202,,Brazil
SBBH,BELO HORIZONTE,MG,SE,-19.8512,-43.9506,,Brazil
SBBI,CURITIBA,PR,S,-25.4051,-49.231998,,Brazil
SBBP,BRAGANÇA PAULISTA,SP,SE,-22.979162,-46.537508,,Brazil
SBBR,BRASÍLIA,DF,CO,-15.869167,-47.920834,,Brazil
SBBT,BARRETOS,SP,SE,-20.584631,-48.594125,,Brazil
SBBU,BAURU,SP,SE,-22.344999,-49.053799,,Brazil
SBBV,BOA VISTA,RR,N,2.841389,-60.692223,,Brazil
SBBW,BARRA DO GARÇAS,MT,CO,-15.8613,-52.388901,,Brazil
SBCA,CASCAVEL,PR,S,-25.000299,-53.500801,,Brazil
SBCB,CABO FRIO,RJ,SE,-22.9217,-42.074299,,Brazil
SBCD,CAÇADOR,SC,S,-26.787423,-50.939942,,Brazil
SBCF,CONFINS,MG,SE,-19.624443,-43.971943,,Brazil
SBCG,CAMPO GRANDE,MS,CO,-20.4687,-54.672501,,Brazil
SBCH,CHAPECÓ,SC,S,-27.134199,-52.656601,,Brazil
SBCJ,PARAUAPEBAS,PA,N,-6.115278,-50.001389,,Brazil
SBCM,FORQUILHINHA,SC,S,-28.725743,-49.424475,,Brazil
SBCN,CALDAS NOVAS,GO,CO,-17.7253,-48.607498,,Brazil
SBCO,CANOAS,RS,S,-29.945928,-51.144413,,Brazil
SBCP,CAMPOS DOS GOYTACAZES,RJ,SE,-21.698299,-41.301701,,Brazil
SBCR,CORUMBÁ,MS,CO,-19.011944,-57.671391,,Brazil
SBCT,SÃO JOSÉ DOS PINHAIS,PR,S,-25.5285,-49.1758,,Brazil
SBCV,CARAVELAS,BA,NE,-17.6523,-39.253101,,Brazil
SBCX,CAXIAS DO SUL,RS,S,-29.1971,-51.1875,,Brazil
SBCY,VÁRZEA GRANDE,MT,CO,-15.6529,-56.116699,,Brazil
SBCZ,CRUZEIRO DO SUL,AC,N,-7.59991,-72.769501,,Brazil
SBDB,BONITO,MS,CO,-21.2473,-56.452399,,Brazil
SBDN,PRESIDENTE PRUDENTE,SP,SE,-22.1751,-51.424599,,Brazil
SBDO,DOURADOS,MS,CO,-22.2019,-54.926601,,Brazil
SBEG,MANAUS,AM,N,-3.03861,-60.049702,,Brazil
SBEK,JACAREACANGA,PA,N,-6.23316,-57.776901,,Brazil
SBFE,FEIRA DE SANTANA,BA,NE,-12.200694,-38.906164,,Brazil
SBFI,FOZ DO IGUAÇU,PR,S,-25.600279,-54.485001,,Brazil
SBFL,FLORIANÓPOLIS,SC,S,-27.670279,-48.552502,,Brazil
SBFN,FERNANDO DE NORONHA,PE,NE,-3.85493,-32.423302,,Brazil
SBFZ,FORTALEZA,CE,NE,-3.77628,-38.5326,,Brazil
SBGL,RIO DE JANEIRO,RJ,SE,-22.809999,-43.250557,,Brazil
SBGO,GOIÂNIA,GO,CO,-16.632,-49.220699,,Brazil
SBGP,GAVIÃO PEIXOTO,SP,SE,-21.773701,-48.405102,,Brazil
SBGR,GUARULHOS,SP,SE,-23.435556,-46.473057,,Brazil
SBGS,PONTA GROSSA,PR,S,-25.184476,-50.143822,,Brazil
SBGU,GUARAPUAVA,PR,S,-25.388327,-51.52349,,Brazil
SBGV,GOVERNADOR VALADARES,MG,SE,-18.895201,-41.982201,,Brazil
SBGW,GUARATINGUETÁ,SP,SE,-22.791599,-45.2048,,Brazil
SBHT,ALTAMIRA,PA,N,-3.25391,-52.254002,,Brazil
SBIC,ITACOATIARA,AM,N,-3.12726,-58.481201,,Brazil
SBIH,ITAITUBA,PA,N,-4.24234,-56.000702,,Brazil
SBIL,ILHÉUS,BA,NE,-14.816,-39.033199,,Brazil
SBIP,SANTANA DO PARAÍSO,MG,SE,-19.470699,-42.487598,,Brazil
SBIZ,IMPERATRIZ,MA,NE,-5.53129,-47.459999,,Brazil
SBJA,JAGUARUNA,SC,S,-28.6753,-49.0596,,Brazil
SBJC,BELÉM,PA,N,-1.41416,-48.460701,,Brazil
SBJD,JUNDIAÍ,SP,SE,-23.180369,-46.944408,,Brazil
SBJE,Cruz,CE,NE,-2.906425,-40.357338,,Brazil
SBJF,JUIZ DE FORA,MG,SE,-21.791482,-43.386072,,Brazil
SBJH,São Roque,SP,SE,-23.426886,-47.165658,,Brazil
SBJI,JI-PARANÁ,RO,N,-10.870743,-61.846675,,Brazil
SBJP,SANTA RITA,PB,NE,-7.145833,-34.948612,,Brazil
SBJR,RIO DE JANEIRO,RJ,SE,-22.987499,-43.369999,,Brazil
SBJU,JUAZEIRO DO NORTE,CE,NE,-7.21896,-39.2701,,Brazil
SBJV,JOINVILLE,SC,S,-26.224501,-48.797401,,Brazil
SBKG,CAMPINA GRANDE,PB,NE,-7.26992,-35.8964,,Brazil
SBKP,CAMPINAS,SP,SE,-23.007401,-47.134499,,Brazil
SBLE,LENÇÓIS,BA,NE,-12.4823,-41.277,,Brazil
SBLJ,LAGES,SC,S,-27.782101,-50.281502,,Brazil
SBLO,LONDRINA,PR,S,-23.333599,-51.1301,,Brazil
SBMA,MARABÁ,PA,N,-5.36859,-49.138,,Brazil
SBMD,ALMEIRIM,PA,N,-0.889839,-52.6022,,Brazil
SBME,MACAÉ,RJ,SE,-22.343,-41.765999,,Brazil
SBMG,MARINGÁ,PR,S,-23.479445,-52.012222,,Brazil
SBMI,MARICÁ,RJ,SE,-22.9195,-42.830898,,Brazil
SBMK,MONTES CLAROS,MG,SE,-16.7069,-43.818901,,Brazil
SBML,MARÍLIA,SP,SE,-22.196899,-49.926399,,Brazil
SBMN,MANAUS,AM,N,-3.14604,-59.986301,,Brazil
SBMO,RIO LARGO,AL,NE,-9.51081,-35.791698,,Brazil
SBMQ,MACAPÁ,AP,N,0.050664,-51.072201,,Brazil
SBMS,MOSSORÓ,RN,NE,-5.20192,-37.3643,,Brazil
SBMT,SÃO PAULO,SP,SE,-23.5091,-46.637798,,Brazil
SBMY,MANICORÉ,AM,N,-5.81138,-61.278301,,Brazil
SBNF,NAVEGANTES,SC,S,-26.879999,-48.651402,,Brazil
SBNM,SANTO ÂNGELO,RS,S,-28.2817,-54.169102,,Brazil
SBNT,PARNAMIRIM,RN,NE,-5.91142,-35.2477,,Brazil
SBOI,OIAPOQUE,AP,N,3.85549,-51.796902,,Brazil
SBPA,PORTO ALEGRE,RS,S,-29.9944,-51.171398,,Brazil
SBPB,PARNAÍBA,PI,NE,-2.89375,-41.731998,,Brazil
SBPC,POÇOS DE CALDAS,MG,SE,-21.842529,-46.569768,,Brazil
SBPF,PASSO FUNDO,RS,S,-28.243999,-52.326599,,Brazil
SBPG,PONTA GROSSA,PR,S,-25.184476,-50.143822,,Brazil
SBPJ,PALMAS,TO,N,-10.2915,-48.356998,,Brazil
SBPK,PELOTAS,RS,S,-31.718399,-52.327702,,Brazil
SBPL,PETROLINA,PE,NE,-9.36241,-40.569099,,Brazil
SBPO,PATO BRANCO,PR,S,-26.217184,-52.694463,,Brazil
SBPP,PONTA PORÃ,MS,CO,-22.549601,-55.702599,,Brazil
SBPS,PORTO SEGURO,BA,NE,-16.438601,-39.080898,,Brazil
SBPV,PORTO VELHO,RO,N,-8.70929,-63.902302,,Brazil
SBQV,VITÓRIA DA CONQUISTA,BA,NE,-14.8628,-40.863098,,Brazil
SBRB,RIO BRANCO,AC,N,-9.868889,-67.898056,,Brazil
SBRD,RONDONÓPOLIS,MT,CO,-16.584292,-54.724803,,Brazil
SBRF,RECIFE,PE,NE,-8.12649,-34.923599,,Brazil
SBRJ,RIO DE JANEIRO,RJ,SE,-22.9105,-43.163101,,Brazil
SBRP,RIBEIRÃO PRETO,SP,SE,-21.136389,-47.776669,,Brazil
SBSG,SÃO GONÇALO DO AMARANTE,RN,NE,-5.768056,-35.376111,,Brazil
SBSI,SINOP,MT,CO,-11.885001,-55.586109,,Brazil
SBSJ,SÃO JOSÉ DOS CAMPOS,SP,SE,-23.2292,-45.8615,,Brazil
SBSL,SÃO LUÍS,MA,NE,-2.58536,-44.2341,,Brazil
SBSM,SANTA MARIA,RS,S,-29.711399,-53.688202,,Brazil
SBSN,SANTARÉM,PA,N,-2.424722,-54.785831,,Brazil
SBSO,SORRISO,MT,CO,-12.479177,-55.672341,,Brazil
SBSP,SÃO PAULO,SP,SE,-23.62611,-46.656387,,Brazil
SBSR,SÃO JOSÉ DO RIO PRETO,SP,SE,-20.816601,-49.406502,,Brazil
SBSV,SALVADOR,BA,NE,-12.908611,-38.322498,,Brazil
SBTB,ORIXIMINÁ,PA,N,-1.4896,-56.396801,,Brazil
SBTC,UNA,BA,NE,-15.3552,-38.999001,,Brazil
SBTD,TOLEDO,PR,S,-24.6863,-53.697498,,Brazil
SBTE,TERESINA,PI,NE,-5.05994,-42.823502,,Brazil
SBTF,TEFÉ,AM,N,-3.38294,-64.724098,,Brazil
SBTG,TRÊS LAGOAS,MS,CO,-20.752643,-51.682026,,Brazil
SBTS,ÓBIDOS,PA,N,2.224537,-55.944711,,Brazil
SBTT,TABATINGA,AM,N,-4.25567,-69.935799,,Brazil
SBTU,TUCURUÍ,PA,N,-3.78601,-49.720299,,Brazil
SBTV,PORTO SEGURO,BA,NE,-16.541416,-39.10811,,Brazil
SBUA,SÃO GABRIEL DA CACHOEIRA,AM,N,-0.14835,-66.9855,,Brazil
SBUF,PAULO AFONSO,BA,NE,-9.40088,-38.250599,,Brazil
SBUG,URUGUAIANA,RS,S,-29.7822,-57.0382,,Brazil
SBUL,UBERLÂNDIA,MG,SE,-18.883612,-48.225277,,Brazil
SBUR,UBERABA,MG,SE,-19.764723,-47.96611,,Brazil
SBUY,COARI,AM,N,-4.884263,-65.355421,,Brazil
